l,mu,rho,eta,dp_dx,B,Y,MI-DL_pi1,SI-DL_pi1
1.0,0.005466289608,0.4329312066,1.02257606,0.3824085345,0.2297042748,193.18508007983553,17.745270088996087,17.009253391099836
1.0,0.001314814611,6.931237127,0.2185793185,0.2092593588,0.12505958,27340.72235731727,94.70599476218048,89.04317882306827
1.0,0.003358474543,6.42073846,0.1526720147,0.2688216421,0.2129862466,5251.978450735144,53.63829734970396,51.429379847945626
1.0,0.002541833758,1.873460505,1.008088971,0.1364684839,0.1247186079,1379.3877863718426,34.22194254136573,32.11454189210169
1.0,0.001871349581,0.4200714505,0.2258330238,0.4283670909,0.3760735251,1750.9438394592228,37.21981451323747,36.58665899152319
1.0,0.008076085079,3.486574666,6.683613601,0.1078329458,0.876992276,200.3619086666273,17.975315600659158,17.310273634509304
1.0,0.001215659832,1.59107801,1.187349604,0.3456120167,0.5302306895,13435.092267717653,72.11677115299999,69.31171298935959
1.0,0.002497343791,0.3477592146,0.3288564897,0.1088869435,0.3222193939,198.1531820822954,18.257401248964392,18.044855750607564
1.0,0.008377121325,0.1149740195,6.914189685,0.1830455582,0.3262946976,10.506623953313905,6.710844446868737,6.456524467995515
1.0,0.002091758957,2.159398847,6.566667331,0.1624018093,0.2575375679,2760.0392072585723,43.32341770740718,40.31301899121286
1.0,0.006709445383,0.5333530812,0.5027222876,0.1196850819,0.4470318013,47.82163998437903,11.241543551019111,11.13915931053634
1.0,0.002273843164,0.206838439,4.346315731,0.1076809777,0.1028401777,151.15833222953904,16.343702256019515,15.289610491642733
1.0,0.001579450046,0.6161749818,3.816627018,0.3322547012,0.2522691412,2827.529106055352,43.63899154780505,40.98493850927142
1.0,0.005273885952,0.4452569111,0.3145964388,0.3135770524,0.1054778276,175.45513303620248,17.17474466982561,16.407485527423223
1.0,0.003782798516,0.1949789489,4.836382456,0.1651869232,0.1203629021,78.96736399913277,13.162352211265253,12.333060131668153
1.0,0.005232332851,0.8200721176,1.360681325,0.1721770446,0.2966244588,179.44449217933507,17.321935493628814,16.66731447051143
1.0,0.004696543083,0.1578341496,1.020226173,0.1329969376,0.5694951967,31.955140253345494,9.83906973939476,9.796638621579776
1.0,0.002772688998,0.2658785597,2.987592896,0.3726720086,0.1054379972,450.36274328291967,23.560268744953433,21.90670882237533
1.0,0.002250026747,6.092564589,0.3891540461,0.2883116279,0.5283859701,13203.386418218415,70.42451485483784,68.12847556963261
1.0,0.00698062746,0.7392863876,9.538774598,0.1201758152,0.2392856683,63.95051345569164,12.267514811582801,11.52563538618244
1.0,0.005166741253,0.1455098449,0.2040707528,0.2087521327,0.7204623474,33.615026365841175,10.427194453424649,10.619138867766232
1.0,0.00102885794,3.036950077,3.944200724,0.2100626416,0.5489898065,20191.639285414672,84.78010364116341,80.22501545503822
1.0,0.00468320113,0.8665167658,0.8552167723,0.1986662567,0.1089290387,274.60643682963394,19.952111971510917,18.805426901215913
1.0,0.001752034737,5.521852785,0.4189306911,0.4202746623,0.497019942,28816.059188313477,91.33467189299415,87.86106244911639
1.0,0.006571111365,0.1274080348,0.1193442886,0.129450348,0.252821901,12.771010063606031,7.2530508630230255,7.291507388447492
1.0,0.009075222748,1.30882108,0.7943289509,0.4430346176,0.7129841918,236.3841763066651,19.191709085827046,18.812329049908296
1.0,0.009428423948,0.3961412811,0.4967393997,0.2515055234,0.8896129695,35.99247674578663,10.383626181523715,10.440129802410407
1.0,0.004958038672,0.5314770046,5.513426047,0.1219656217,0.2401324027,92.43343068267855,13.86591107688315,13.130427681055691
1.0,0.001710673899,0.538455309,0.4006151397,0.1409536706,0.2035943151,892.22460481795,29.664384149056406,28.720411114898955
