repeat,random_state,method,n_samples,theta_over_pi,theta_abs_error,normalized_error,objective_error,mutual_information,si_score,bandwidth
1,43,SI-DL,130,0.25054627362930654,0.0005462736293065373,0.0021850945172261493,0.018933773650353092,,0.9810662263496469,0.08
1,43,MI-DL,160,0.2460884243814594,0.003911575618540608,0.015646302474162432,0.061441282064678804,1.0798583865043705,,
1,43,SI-DL,160,0.2495476909761457,0.0004523090238542915,0.001809236095417166,0.019288508935424664,,0.9807114910645753,0.0775
1,43,MI-DL,200,0.24584171031277144,0.004158289687228561,0.016633158748914245,0.046809877145733356,1.176814823118498,,
1,43,SI-DL,200,0.2488105815627122,0.001189418437287787,0.004757673749151148,0.019061410188156658,,0.9809385898118433,0.065
1,43,MI-DL,300,0.25430395132642436,0.00430395132642436,0.01721580530569744,0.030625511270549653,1.3529742445462567,,
1,43,SI-DL,300,0.2530371171587194,0.0030371171587194046,0.012148468634877618,0.017940748558379016,,0.982059251441621,0.07
1,43,MI-DL,400,0.24745947240236355,0.002540527597636455,0.01016211039054582,0.022747616841799087,1.4936435299890807,,
1,43,SI-DL,400,0.2507786517730083,0.0007786517730082876,0.0031146070920331503,0.013429624020336317,,0.9865703759796637,0.057499999999999996
1,43,MI-DL,500,0.24911342820958046,0.000886571790419538,0.003546287161678152,0.02084672724355392,1.6023701832925124,,
1,43,SI-DL,500,0.25009604172953914,9.604172953914247e-05,0.0003841669181565699,0.015385078603639135,,0.9846149213963609,0.055
1,43,MI-DL,650,0.25161231788729926,0.0016123178872992638,0.006449271549197055,0.01708641188330977,1.7010067930733728,,
1,43,SI-DL,650,0.25086921711872306,0.0008692171187230646,0.0034768684748922585,0.01610540779008307,,0.9838945922099169,0.052500000000000005
1,43,MI-DL,800,0.25136075288071447,0.0013607528807144664,0.005443011522857866,0.016699836346386967,1.7620132919878895,,
1,43,SI-DL,800,0.25142464163672995,0.0014246416367299508,0.005698566546919803,0.01662192253127137,,0.9833780774687286,0.055
1,43,MI-DL,1000,0.24986646297696444,0.00013353702303556259,0.0005341480921422503,0.013785313041597322,1.8000249109322244,,
1,43,SI-DL,1000,0.2502208207368902,0.00022082073689022597,0.0008832829475609039,0.014891714390562583,,0.9851082856094374,0.05
2,44,MI-DL,30,0.2533579751985285,0.0033579751985284845,0.013431900794113938,0.2570167591131659,0.3201727407205164,,
2,44,SI-DL,30,0.26325750609054616,0.013257506090546156,0.053030024362184625,0.0,,1.0,0.09
2,44,MI-DL,40,0.26245412447218763,0.012454124472187633,0.04981649788875053,0.33711323087825085,0.34308549221046647,,
2,44,SI-DL,40,0.24627978830742409,0.0037202116925759143,0.014880846770303657,0.038801003208730145,,0.9611989967912699,0.09
2,44,MI-DL,50,0.2412726809593023,0.008727319040697706,0.034909276162790825,0.20527205082821887,0.407832512244223,,
2,44,SI-DL,50,0.2465630841814251,0.003436915818574887,0.013747663274299549,0.028946686236976937,,0.9710533137630231,0.09
2,44,MI-DL,60,0.2577956568056727,0.007795656805672679,0.031182627222690718,0.2416668810799083,0.4117985228807237,,
2,44,SI-DL,60,0.2606815786780249,0.010681578678024883,0.04272631471209953,0.0,,1.0,0.09
2,44,MI-DL,75,0.2595233849886294,0.009523384988629424,0.0380935399545177,0.13662823917223849,0.6040321171584182,,
2,44,SI-DL,75,0.25514831704880037,0.005148317048800366,0.020593268195201464,0.039237829838819516,,0.9607621701611805,0.09
2,44,MI-DL,100,0.2509976086069347,0.0009976086069347079,0.0039904344277388315,0.0881621450333683,0.7738110963453169,,
2,44,SI-DL,100,0.2533149963506317,0.003314996350631705,0.01325998540252682,0.02086864667151289,,0.9791313533284871,0.09
2,44,MI-DL,130,0.25511350010681827,0.0051135001068182695,0.020454000427273078,0.08108359687242045,0.9000620176527194,,
2,44,SI-DL,130,0.24911783024519016,0.0008821697548098417,0.003528679019239367,0.015629669983440064,,0.9843703300165599,0.08
2,44,MI-DL,160,0.2497804905125975,0.00021950948740251386,0.0008780379496100554,0.05712097332766303,1.0307153859391125,,
2,44,SI-DL,160,0.24883713249165376,0.001162867508346238,0.004651470033384952,0.014638532724277287,,0.9853614672757227,0.0775
2,44,MI-DL,200,0.24969169598701235,0.000308304012987648,0.001233216051950592,0.0331972711038535,1.2712423545772928,,
2,44,SI-DL,200,0.24944180393274382,0.0005581960672561836,0.0022327842690247346,0.012057552513819347,,0.9879424474861807,0.065
