repeat,random_state,noise_percent,method,theta,theta_over_pi,theta_abs_error,normalized_error,objective_error,mutual_information,si_score
3,45,0,MI-DL,0.7866757596389777,0.2504066715142301,0.00040667151423007253,0.0016266860569202901,0.0038383633907207106,2.0428286883230307,
3,45,0,SI-DL,0.7858865886189877,0.25015547057667753,0.00015547057667752995,0.0006218823067101198,0.004705679770546367,,0.9952943202294536
3,45,5,MI-DL,0.786651867665511,0.2503990664628752,0.0003990664628751861,0.0015962658515007444,0.00949928639514882,1.8177971199150997,
3,45,5,SI-DL,0.7886759805186782,0.25104336159478996,0.00104336159478996,0.00417344637915984,0.0063770464908941005,,0.9936229535091059
3,45,10,MI-DL,0.7855425837490763,0.2500459704256893,4.597042568932341e-05,0.00018388170275729365,0.015604861542140807,1.6326722920254957,
3,45,10,SI-DL,0.7911005940456401,0.2518151400505969,0.0018151400505969084,0.007260560202387634,0.011830333389229675,,0.9881696666107703
3,45,15,MI-DL,0.7983198419792367,0.2541130980386726,0.004113098038672602,0.01645239215469041,0.02472815870770685,1.456342631622852,
3,45,15,SI-DL,0.793198815461507,0.25248302467066985,0.0024830246706698533,0.009932098682679413,0.020944959255009943,,0.9790550407449901
3,45,20,MI-DL,0.7860142125586677,0.25019609453839137,0.00019609453839136703,0.0007843781535654681,0.03928774806346371,1.3188277322333661,
3,45,20,SI-DL,0.7949961799115256,0.2530551435441861,0.003055143544186123,0.012220574176744492,0.033519706382722614,,0.9664802936172774
3,45,25,MI-DL,0.796273386830964,0.2534616911333457,0.0034616911333457123,0.01384676453338285,0.053409634483298565,1.1979346454233184,
3,45,25,SI-DL,0.7965214953105654,0.2535406665152488,0.0035406665152488137,0.014162666060995255,0.04928413126302422,,0.9507158687369758
3,45,30,MI-DL,0.8055717296253452,0.256421445569923,0.006421445569923023,0.025685782279692093,0.06625162747971776,1.092369010460211,
3,45,30,SI-DL,0.7978087097471875,0.25395039959606414,0.003950399596064136,0.015801598384256543,0.06791269041387782,,0.9320873095861222
4,46,0,MI-DL,0.7837290538282755,0.24946870592300835,0.0005312940769916508,0.002125176307966603,0.004466900941673178,2.039447183368922,
4,46,0,SI-DL,0.7838766800070772,0.24951569679518046,0.0004843032048195417,0.0019372128192781668,0.004969797583787905,,0.9950302024162121
4,46,5,MI-DL,0.7822733160726488,0.24900533020370136,0.0009946697962986417,0.003978679185194567,0.010981781989466805,1.8141760756975271,
4,46,5,SI-DL,0.7817369839970166,0.24883461040175017,0.0011653895982498275,0.00466155839299931,0.007405875575115073,,0.9925941244248849
4,46,10,MI-DL,0.7705535684808824,0.24527481868166345,0.0047251813183365465,0.018900725273346186,0.017772732130486572,1.609353378483191,
4,46,10,SI-DL,0.7798133186619982,0.24822228870790475,0.001777711292095252,0.007110845168381008,0.014396924117720977,,0.985603075882279
